 
 
 
攻角：17.00
升力系数：1.2699 阻力系数： 0.1792
 
0.0000 
 
 
压力系数 坐标
-2.58762 0.00000
-2.62693 0.00050
-2.60199 0.00125
-2.59521 0.00250
-2.60948 0.00500
-2.58444 0.00750
-2.55580 0.01000
-2.77670 0.01500
-2.55682 0.02500
-2.63453 0.05000
-2.54892 0.10000
-2.27207 0.12500
-2.05188 0.15000
-1.89811 0.17500
-1.74393 0.20000
-1.57742 0.22500
-1.23826 0.27500
-0.82838 0.32500
-0.65756 0.35000
-0.55399 0.37500
-0.51827 0.40000
-0.50143 0.42500
-0.49712 0.45000
-0.49774 0.47500
-0.49763 0.50000
-0.49887 0.52500
-0.50369 0.55000
-0.50718 0.57500
-0.51334 0.60000
-0.52094 0.62500
-0.52792 0.65000
-0.53243 0.67500
-0.53746 0.70000
-0.54814 0.75000
-0.55409 0.80000
-0.55584 0.82500
-0.56405 0.85000
-0.55912 0.87500
-0.56056 0.90000
-0.55563 0.92500
-0.55050 0.95000
-0.52874 0.99000
 
 
压力系数 坐标
-2.63237 0.00000
-1.69650 0.00050
-0.92733 0.00125
-0.39416 0.00250
-0.02390 0.00500
0.36854 0.00750
0.64477 0.01000
0.94944 0.01500
1.01689 0.02500
1.01299 0.05000
0.92327 0.07500
0.70760 0.12500
0.61367 0.15000
0.52590 0.17500
0.45846 0.20000
0.36320 0.22500
0.29997 0.25000
0.24176 0.27500
0.20594 0.30000
0.16529 0.32500
0.09230 0.35000
0.08101 0.37500
0.06849 0.40000
0.04857 0.42500
0.03923 0.45000
0.03739 0.47500
0.05022 0.50000
0.07629 0.52500
0.08584 0.55000
0.10144 0.57500
0.12156 0.60000
0.13727 0.62500
0.15020 0.65000
0.19434 0.67500
0.23386 0.70000
0.25603 0.72500
0.26661 0.75000
0.27934 0.82500
0.28303 0.85000
0.25152 0.87500
0.21846 0.90000
0.16549 0.92500
0.04693 0.95000
-0.08302 0.97500
-0.52381 0.99000
 
 
压力系数 坐标
1.02366 0.06250
1.02356 0.08750
1.02233 0.11250
1.02387 0.13750
1.02469 0.16250
1.01843 0.18750
1.02530 0.21250
1.02459 0.23750
1.02294 0.26250
1.02469 0.28750
1.02017 0.31250
1.02366 0.33750
1.02428 0.36250
1.02654 0.38750
1.02705 0.41250
1.02263 0.43750
1.02387 0.45250
1.02438 0.46750
1.02120 0.48250
1.02592 0.49750
1.02202 0.51250
1.02253 0.52750
1.00929 0.54250
1.02530 0.55750
1.01586 0.57250
1.01822 0.58750
1.02202 0.60250
1.01658 0.61750
1.01976 0.63250
1.00293 0.64750
0.99143 0.66250
0.96854 0.67750
0.94534 0.69250
0.92275 0.70750
0.92604 0.72250
0.89524 0.73750
0.86558 0.74750
0.85613 0.75750
0.82585 0.76750
0.79752 0.77750
0.78808 0.78750
0.75923 0.79750
0.73418 0.80750
0.71396 0.81750
0.67998 0.82750
0.67834 0.83750
0.66377 0.84750
0.63831 0.85750
0.62650 0.86750
0.61090 0.87750
0.59930 0.88750
0.57579 0.89750
0.56399 0.90750
0.53956 0.91750
0.51708 0.92750
0.51297 0.93750
0.50804 0.94750
0.51256 0.95750
0.50948 0.96750
0.50681 0.97750
0.52036 0.98750
0.51256 0.99750
0.50373 1.00750
0.52159 1.01750
0.52785 1.02750
0.51985 1.03750
0.50630 1.04750
0.52344 1.05750
0.52416 1.06750
0.53042 1.07750
0.55773 1.08750
0.58113 1.09750
0.60238 1.10750
0.62414 1.11750
0.66592 1.12750
0.68081 1.13750
0.70637 1.15250
0.72864 1.16750
0.76046 1.18250
0.77196 1.19750
0.80707 1.21250
0.85008 1.22750
0.86691 1.24250
0.89432 1.25750
0.91331 1.27250
0.93559 1.28750
0.95858 1.30250
0.97521 1.31750
0.97367 1.33250
0.98630 1.34750
0.99636 1.36250
0.99338 1.37750
1.00405 1.39250
1.00467 1.40750
1.00549 1.42250
1.01042 1.43750
1.01463 1.46250
1.02407 1.48750
1.02479 1.51250
1.01986 1.53750
1.01760 1.56250
1.02181 1.58750
1.02438 1.61250
0.99851 1.63750
1.02089 1.66250
1.02520 1.68750
1.01442 1.71250
1.01873 1.73750
1.01586 1.76250
1.02079 1.78750
1.02500 1.81250
 
 
压力系数 坐标
-0.02400 0.62500
-0.16350 0.93750
-0.12172 1.25000
-0.02400 1.56250
