 
 
 
攻角：20.00
升力系数：1.2182 阻力系数： 0.2775
 
0.0000 
 
 
压力系数 坐标
-2.62154 0.00000
-2.66105 0.00050
-2.63598 0.00125
-2.62917 0.00250
-2.64351 0.00500
-2.61834 0.00750
-2.58956 0.01000
-2.81155 0.01500
-2.59059 0.02500
-2.66868 0.05000
-2.44524 0.10000
-2.09523 0.12500
-1.79556 0.15000
-1.56274 0.17500
-1.28535 0.20000
-1.06253 0.22500
-0.65434 0.27500
-0.57986 0.32500
-0.57481 0.35000
-0.57326 0.37500
-0.57976 0.40000
-0.57615 0.42500
-0.57883 0.45000
-0.58471 0.47500
-0.59100 0.50000
-0.59565 0.52500
-0.60462 0.55000
-0.61205 0.57500
-0.62113 0.60000
-0.63134 0.62500
-0.63712 0.65000
-0.64258 0.67500
-0.64619 0.70000
-0.65331 0.75000
-0.65300 0.80000
-0.65341 0.82500
-0.65816 0.85000
-0.65156 0.87500
-0.64692 0.90000
-0.64176 0.92500
-0.63196 0.95000
-0.60442 0.99000
 
 
压力系数 坐标
-2.66652 0.00000
-2.24419 0.00050
-1.38304 0.00125
-0.77731 0.00250
-0.35055 0.00500
0.11686 0.00750
0.45995 0.01000
0.86907 0.01500
0.98801 0.02500
1.02247 0.05000
0.96542 0.07500
0.77138 0.12500
0.67978 0.15000
0.59220 0.17500
0.52381 0.20000
0.42870 0.22500
0.36227 0.25000
0.29975 0.27500
0.25736 0.30000
0.21228 0.32500
0.13522 0.35000
0.11840 0.37500
0.10056 0.40000
0.07580 0.42500
0.05960 0.45000
0.05486 0.47500
0.06125 0.50000
0.08374 0.52500
0.08973 0.55000
0.10293 0.57500
0.11933 0.60000
0.13811 0.62500
0.14646 0.65000
0.16637 0.67500
0.20186 0.70000
0.24456 0.72500
0.25323 0.75000
0.25632 0.82500
0.25870 0.85000
0.22352 0.87500
0.18700 0.90000
0.13047 0.92500
0.00534 0.95000
-0.13309 0.97500
-0.59977 0.99000
 
 
压力系数 坐标
1.02154 0.06250
1.02216 0.08750
1.02030 0.11250
1.02144 0.13750
1.02340 0.16250
1.01783 0.18750
1.02494 0.21250
1.02453 0.23750
1.02226 0.26250
1.02391 0.28750
1.01906 0.31250
1.02453 0.33750
1.02515 0.36250
1.02763 0.38750
1.02474 0.41250
1.02401 0.43750
1.02546 0.45250
1.02154 0.46750
1.02092 0.48250
1.02680 0.49750
1.02236 0.51250
1.02236 0.52750
1.00834 0.54250
1.02670 0.55750
1.01710 0.57250
1.01886 0.58750
1.00947 0.60250
1.01607 0.61750
1.00988 0.63250
0.99142 0.64750
0.96501 0.66250
0.93499 0.67750
0.92550 0.69250
0.89940 0.70750
0.88300 0.72250
0.85247 0.73750
0.82730 0.74750
0.83008 0.75750
0.80305 0.76750
0.79088 0.77750
0.78160 0.78750
0.75240 0.79750
0.71238 0.80750
0.68515 0.81750
0.63078 0.82750
0.61840 0.83750
0.57621 0.84750
0.54011 0.85750
0.52525 0.86750
0.46016 0.87750
0.45284 0.88750
0.43148 0.89750
0.41065 0.90750
0.38444 0.91750
0.32998 0.92750
0.31884 0.93750
0.28717 0.94750
0.28253 0.95750
0.29006 0.96750
0.26427 0.97750
0.27582 0.98750
0.27840 0.99750
0.27015 1.00750
0.27159 1.01750
0.28129 1.02750
0.27427 1.03750
0.28562 1.04750
0.29305 1.05750
0.30161 1.06750
0.29913 1.07750
0.32111 1.08750
0.31017 1.09750
0.31110 1.10750
0.28799 1.11750
0.30202 1.12750
0.31719 1.13750
0.32296 1.15250
0.33555 1.16750
0.37361 1.18250
0.39507 1.19750
0.42808 1.21250
0.46274 1.22750
0.46377 1.24250
0.48358 1.25750
0.48636 1.27250
0.55445 1.28750
0.59261 1.30250
0.66039 1.31750
0.69092 1.33250
0.74993 1.34750
0.81182 1.36250
0.83885 1.37750
0.89785 1.39250
0.91714 1.40750
0.94531 1.42250
0.98389 1.43750
0.99874 1.46250
1.01545 1.48750
1.01999 1.51250
1.01638 1.53750
1.01442 1.56250
1.01659 1.58750
1.02185 1.61250
0.99802 1.63750
1.01834 1.66250
1.02278 1.68750
1.01060 1.71250
1.01545 1.73750
1.01143 1.76250
1.01824 1.78750
1.02061 1.81250
 
 
压力系数 坐标
-0.04758 0.62500
-0.24801 0.93750
-0.26163 1.25000
-0.06614 1.56250
