 
 
 
攻角：15.00
升力系数：1.3220 阻力系数： 0.1088
 
0.0000 
 
 
压力系数 坐标
-2.58462 0.00000
-2.62399 0.00050
-2.59901 0.00125
-2.59223 0.00250
-2.60652 0.00500
-2.58144 0.00750
-2.55276 0.01000
-2.77396 0.01500
-2.55379 0.02500
-2.63160 0.05000
-2.50825 0.10000
-2.28108 0.12500
-2.10151 0.15000
-1.99008 0.17500
-1.88421 0.20000
-1.74811 0.22500
-1.51714 0.27500
-1.23025 0.32500
-1.08727 0.35000
-0.90204 0.37500
-0.74508 0.40000
-0.60138 0.42500
-0.52624 0.45000
-0.49992 0.47500
-0.48944 0.50000
-0.48594 0.52500
-0.48790 0.55000
-0.48841 0.57500
-0.49036 0.60000
-0.49663 0.62500
-0.49787 0.65000
-0.50064 0.67500
-0.50383 0.70000
-0.51041 0.75000
-0.51565 0.80000
-0.51647 0.82500
-0.52747 0.85000
-0.52572 0.87500
-0.52901 0.90000
-0.52994 0.92500
-0.53117 0.95000
-0.51699 0.99000
 
 
压力系数 坐标
-2.28231 0.00000
-1.27003 0.00050
-0.58380 0.00125
-0.11178 0.00250
0.20933 0.00500
0.54135 0.00750
0.76481 0.01000
0.98952 0.01500
1.01984 0.02500
0.98746 0.05000
0.87593 0.07500
0.64702 0.12500
0.55286 0.15000
0.46528 0.17500
0.39909 0.20000
0.30637 0.22500
0.24459 0.25000
0.19021 0.27500
0.15763 0.30000
0.12052 0.32500
0.05093 0.35000
0.04292 0.37500
0.03510 0.40000
0.01907 0.42500
0.01198 0.45000
0.01454 0.47500
0.03109 0.50000
0.05988 0.52500
0.07252 0.55000
0.09143 0.57500
0.11127 0.60000
0.12854 0.62500
0.16339 0.65000
0.19864 0.67500
0.23071 0.70000
0.25487 0.72500
0.26803 0.75000
0.28458 0.82500
0.28889 0.85000
0.25816 0.87500
0.22732 0.90000
0.17438 0.92500
0.05998 0.95000
-0.07015 0.97500
-0.51205 0.99000
 
 
压力系数 坐标
1.02025 0.06250
1.01984 0.08750
1.01984 0.11250
1.02200 0.13750
1.02128 0.16250
1.01634 0.18750
1.02477 0.21250
1.02220 0.23750
1.02107 0.26250
1.02282 0.28750
1.01871 0.31250
1.02220 0.33750
1.02138 0.36250
1.02529 0.38750
1.02457 0.41250
1.02117 0.43750
1.02364 0.45250
1.02200 0.46750
1.02066 0.48250
1.02683 0.49750
1.02087 0.51250
1.02128 0.52750
1.00720 0.54250
1.02559 0.55750
1.02046 0.57250
1.02518 0.58750
1.02313 0.60250
1.02292 0.61750
1.02498 0.63250
1.01963 0.64750
1.01932 0.66250
0.99722 0.67750
1.00093 0.69250
0.98581 0.70750
0.99023 0.72250
0.97369 0.73750
0.95426 0.74750
0.94233 0.75750
0.91951 0.76750
0.89186 0.77750
0.87295 0.78750
0.83697 0.79750
0.81045 0.80750
0.77530 0.81750
0.73984 0.82750
0.72730 0.83750
0.70201 0.84750
0.67220 0.85750
0.65061 0.86750
0.63078 0.87750
0.62204 0.88750
0.61392 0.89750
0.61186 0.90750
0.60528 0.91750
0.59120 0.92750
0.59089 0.93750
0.60086 0.94750
0.61392 0.95750
0.61669 0.96750
0.61680 0.97750
0.63499 0.98750
0.63437 0.99750
0.64918 1.00750
0.67477 1.01750
0.67220 1.02750
0.70694 1.03750
0.71959 1.04750
0.74621 1.05750
0.76584 1.06750
0.78486 1.07750
0.82094 1.08750
0.85321 1.09750
0.85774 1.10750
0.87460 1.11750
0.89258 1.12750
0.90728 1.13750
0.93267 1.15250
0.94377 1.16750
0.96043 1.18250
0.96454 1.19750
0.98222 1.21250
0.99013 1.22750
0.99352 1.24250
1.00082 1.25750
1.00699 1.27250
1.00935 1.28750
1.00812 1.30250
1.01388 1.31750
1.01079 1.33250
1.01480 1.34750
1.01542 1.36250
1.00925 1.37750
1.01521 1.39250
1.01480 1.40750
1.01367 1.42250
1.01645 1.43750
1.01737 1.46250
1.02035 1.48750
1.02200 1.51250
1.01634 1.53750
1.01490 1.56250
1.01583 1.58750
1.02220 1.61250
0.99527 1.63750
1.01861 1.66250
1.02189 1.68750
1.00956 1.71250
1.01439 1.73750
1.01069 1.76250
1.01717 1.78750
1.01994 1.81250
 
 
压力系数 坐标
0.00756 0.62500
-0.14591 0.93750
-0.08290 1.25000
-0.02246 1.56250
