攻角：20.00
升力系数：1.2358 阻力系数： 0.2453
0.0000 
压力系数 坐标
-2.61749 0.00000
-2.65697 0.00050
-2.63192 0.00125
-2.62512 0.00250
-2.63944 0.00500
-2.61429 0.00750
-2.58554 0.01000
-2.80735 0.01500
-2.58657 0.02500
-2.66460 0.05000
-2.46999 0.10000
-2.11768 0.12500
-1.82546 0.15000
-1.59870 0.17500
-1.32957 0.20000
-1.09889 0.22500
-0.67515 0.27500
-0.58197 0.32500
-0.57455 0.35000
-0.57249 0.37500
-0.57960 0.40000
-0.57506 0.42500
-0.57630 0.45000
-0.58156 0.47500
-0.58465 0.50000
-0.58929 0.52500
-0.59692 0.55000
-0.60279 0.57500
-0.61114 0.60000
-0.61959 0.62500
-0.62444 0.65000
-0.63000 0.67500
-0.63382 0.70000
-0.63887 0.75000
-0.64114 0.80000
-0.64330 0.82500
-0.65062 0.85000
-0.64495 0.87500
-0.64330 0.90000
-0.63846 0.92500
-0.63206 0.95000
-0.61135 0.99000
压力系数 坐标
-2.66243 0.00000
-2.26436 0.00050
-1.39822 0.00125
-0.79132 0.00250
-0.36046 0.00500
0.10873 0.00750
0.45517 0.01000
0.86808 0.01500
0.98806 0.02500
1.02424 0.05000
0.96848 0.07500
0.77449 0.12500
0.68430 0.15000
0.59700 0.17500
0.52856 0.20000
0.43321 0.22500
0.36704 0.25000
0.30385 0.27500
0.26242 0.30000
0.21686 0.32500
0.14038 0.35000
0.12378 0.37500
0.10636 0.40000
0.08173 0.42500
0.06513 0.45000
0.05895 0.47500
0.06647 0.50000
0.08863 0.52500
0.09410 0.55000
0.10739 0.57500
0.12409 0.60000
0.14192 0.62500
0.15161 0.65000
0.16975 0.67500
0.20480 0.70000
0.24788 0.72500
0.25737 0.75000
0.26015 0.82500
0.26170 0.85000
0.22644 0.87500
0.18965 0.90000
0.13223 0.92500
0.00566 0.95000
-0.13483 0.97500
-0.61403 0.99000
压力系数 坐标
1.01682 0.06250
1.01734 0.08750
1.01517 0.11250
1.01703 0.13750
1.01754 0.16250
1.01249 0.18750
1.01950 0.21250
1.01847 0.23750
1.01682 0.26250
1.01806 0.28750
1.01507 0.31250
1.01826 0.33750
1.01991 0.36250
1.02146 0.38750
1.02033 0.41250
1.01682 0.43750
1.01837 0.45250
1.01744 0.46750
1.01517 0.48250
1.02146 0.49750
1.01651 0.51250
1.01651 0.52750
1.00291 0.54250
1.01950 0.55750
1.01342 0.57250
1.01765 0.58750
1.01445 0.60250
1.01033 0.61750
1.00476 0.63250
0.99157 0.64750
0.97724 0.66250
0.94982 0.67750
0.92323 0.69250
0.89427 0.70750
0.88262 0.72250
0.85716 0.73750
0.81521 0.74750
0.80356 0.75750
0.77625 0.76750
0.75316 0.77750
0.74563 0.78750
0.71450 0.79750
0.68760 0.80750
0.66503 0.81750
0.61524 0.82750
0.61535 0.83750
0.59174 0.84750
0.58380 0.85750
0.60782 0.86750
0.58886 0.87750
0.57175 0.88750
0.55628 0.89750
0.54711 0.90750
0.53134 0.91750
0.51206 0.92750
0.47547 0.93750
0.44321 0.94750
0.44156 0.95750
0.44022 0.96750
0.39260 0.97750
0.38590 0.98750
0.37394 0.99750
0.37178 1.00750
0.36941 1.01750
0.37930 1.02750
0.36869 1.03750
0.36127 1.04750
0.36446 1.05750
0.36487 1.06750
0.36106 1.07750
0.38219 1.08750
0.39270 1.09750
0.41054 1.10750
0.41229 1.11750
0.44115 1.12750
0.43991 1.13750
0.45476 1.15250
0.48980 1.16750
0.51526 1.18250
0.52835 1.19750
0.57051 1.21250
0.61411 1.22750
0.63782 1.24250
0.64915 1.25750
0.66668 1.27250
0.70966 1.28750
0.73790 1.30250
0.77305 1.31750
0.79799 1.33250
0.83294 1.34750
0.87180 1.36250
0.88736 1.37750
0.93941 1.39250
0.96642 1.40750
0.98611 1.42250
1.00311 1.43750
1.01208 1.46250
1.01940 1.48750
1.02228 1.51250
1.01868 1.53750
1.01662 1.56250
1.01672 1.58750
1.02352 1.61250
1.00074 1.63750
1.02156 1.66250
1.02476 1.68750
1.01455 1.71250
1.01435 1.73750
1.01394 1.76250
1.01981 1.78750
1.02239 1.81250
压力系数 坐标
-0.01712 0.62500
-0.20183 0.93750
-0.21492 1.25000
-0.05742 1.56250
