攻角：0.00
升力系数：0.5647 阻力系数： 0.0072
0.0000 
压力系数 坐标
0.95702 0.00000
0.77994 0.00050
0.63196 0.00125
0.46741 0.00250
0.21513 0.00500
0.10071 0.00750
-0.10670 0.01000
-0.34523 0.01500
-0.38405 0.02500
-0.51181 0.05000
-0.71840 0.10000
-0.80331 0.12500
-0.87366 0.15000
-0.94360 0.17500
-0.90762 0.20000
-1.04144 0.22500
-1.11300 0.27500
-1.13403 0.32500
-1.13160 0.35000
-1.10936 0.37500
-1.12109 0.40000
-1.06772 0.42500
-1.01718 0.45000
-0.97473 0.47500
-0.92824 0.50000
-0.89913 0.52500
-0.89347 0.55000
-0.62865 0.57500
-0.60035 0.60000
-0.55709 0.62500
-0.52959 0.65000
-0.47946 0.67500
-0.42892 0.70000
-0.33310 0.75000
-0.24618 0.80000
-0.19645 0.82500
-0.18190 0.85000
-0.12327 0.87500
-0.09659 0.90000
-0.04928 0.92500
-0.01411 0.95000
0.10435 0.99000
压力系数 坐标
1.02778 0.00000
1.01201 0.00050
0.93398 0.00125
0.82320 0.00250
0.72900 0.00500
0.56283 0.00750
0.42173 0.01000
0.22241 0.01500
0.08777 0.02500
-0.03109 0.05000
-0.15925 0.07500
-0.30925 0.12500
-0.36060 0.15000
-0.38081 0.17500
-0.41316 0.20000
-0.46329 0.22500
-0.46329 0.25000
-0.48229 0.27500
-0.45399 0.30000
-0.44631 0.32500
-0.50655 0.35000
-0.44631 0.37500
-0.39577 0.40000
-0.36019 0.42500
-0.34281 0.45000
-0.32704 0.47500
-0.30561 0.50000
-0.18836 0.52500
-0.05980 0.55000
-0.02907 0.57500
0.01783 0.60000
0.05988 0.62500
0.08211 0.65000
0.14074 0.67500
0.19330 0.70000
0.24060 0.72500
0.28143 0.75000
0.33885 0.82500
0.36593 0.85000
0.35825 0.87500
0.35825 0.90000
0.34370 0.92500
0.29397 0.95000
0.27133 0.97500
0.16661 0.99000
压力系数 坐标
1.01767 0.06250
1.00999 0.08750
1.00918 0.11250
1.02899 0.13750
1.01362 0.16250
0.99988 0.18750
1.02171 0.21250
1.01565 0.23750
1.01443 0.26250
1.02292 0.28750
1.00877 0.31250
1.01686 0.33750
1.01929 0.36250
1.02495 0.38750
1.02454 0.41250
1.01443 0.43750
1.02131 0.45250
1.01686 0.46750
1.00877 0.48250
1.02616 0.49750
1.01039 0.51250
1.01484 0.52750
0.96268 0.54250
1.02737 0.55750
1.01807 0.57250
1.02292 0.58750
1.01726 0.60250
1.02252 0.61750
1.02414 0.63250
1.01079 0.64750
1.02414 0.66250
1.01120 0.67750
1.01807 0.69250
0.99503 0.70750
1.01201 0.72250
1.01120 0.73750
0.95743 0.74750
1.00271 0.75750
1.01039 0.76750
0.99584 0.77750
1.01120 0.78750
1.00675 0.79750
1.02858 0.80750
1.02454 0.81750
0.99786 0.82750
0.98654 0.83750
1.02292 0.84750
1.00918 0.85750
1.00958 0.86750
1.01362 0.87750
1.01929 0.88750
1.01484 0.89750
1.01362 0.90750
1.01605 0.91750
0.99907 0.92750
1.00716 0.93750
1.00837 0.94750
1.03020 0.95750
0.97481 0.96750
0.91255 0.97750
0.85110 0.98750
0.80784 0.99750
0.83775 1.00750
0.88910 1.01750
0.93923 1.02750
0.97602 1.03750
1.01403 1.04750
1.00594 1.05750
1.01282 1.06750
1.01565 1.07750
1.01565 1.08750
1.01120 1.09750
0.99503 1.10750
0.99947 1.11750
1.00554 1.12750
1.00513 1.13750
1.02616 1.15250
1.01322 1.16750
1.01524 1.18250
1.00150 1.19750
0.99988 1.21250
1.02980 1.22750
1.01646 1.24250
1.00877 1.25750
1.01969 1.27250
1.00513 1.28750
1.02656 1.30250
1.02333 1.31750
1.01160 1.33250
1.01888 1.34750
1.01807 1.36250
0.99705 1.37750
1.00918 1.39250
1.01807 1.40750
1.01322 1.42250
1.02009 1.43750
1.00635 1.46250
1.02212 1.48750
1.02454 1.51250
1.00513 1.53750
1.00311 1.56250
1.00635 1.58750
1.02373 1.61250
0.97602 1.63750
1.01120 1.66250
1.03182 1.68750
0.99907 1.71250
1.01241 1.73750
0.99503 1.76250
1.00756 1.78750
1.02495 1.81250
压力系数 坐标
-0.00198 0.62500
-0.02058 0.93750
-0.04443 1.25000
0.01702 1.56250
