攻角：21.00
升力系数：1.3306 阻力系数： 0.2664
0.0000 
压力系数 坐标
-4.38364 0.00000
-5.11967 0.00050
-5.20392 0.00125
-5.30789 0.00250
-5.38680 0.00500
-5.26762 0.00750
-4.93474 0.01000
-4.86364 0.01500
-4.48350 0.02500
-3.11375 0.05000
-2.40196 0.10000
-2.04525 0.12500
-1.73045 0.15000
-1.48058 0.17500
-1.11893 0.20000
-0.96605 0.22500
-0.64797 0.27500
-0.59495 0.32500
-0.58304 0.35000
-0.58673 0.37500
-0.61057 0.40000
-0.58961 0.42500
-0.58715 0.45000
-0.59167 0.47500
-0.59536 0.50000
-0.59290 0.52500
-0.60934 0.55000
-0.61057 0.57500
-0.62578 0.60000
-0.64345 0.62500
-0.64180 0.65000
-0.65084 0.67500
-0.65742 0.70000
-0.65290 0.75000
-0.65906 0.80000
-0.65084 0.82500
-0.67345 0.85000
-0.65126 0.87500
-0.65824 0.90000
-0.64920 0.92500
-0.64879 0.95000
-0.62578 0.99000
压力系数 坐标
-3.67226 0.00000
-2.45046 0.00050
-1.57634 0.00125
-0.94057 0.00250
-0.48358 0.00500
0.00999 0.00750
0.36917 0.01000
0.84096 0.01500
0.97041 0.02500
1.03206 0.05000
0.99055 0.07500
0.80233 0.12500
0.70698 0.15000
0.63589 0.17500
0.56520 0.20000
0.46575 0.22500
0.42506 0.25000
0.33876 0.27500
0.29561 0.30000
0.24793 0.32500
0.12958 0.35000
0.13410 0.37500
0.12917 0.40000
0.10656 0.42500
0.07985 0.45000
0.06629 0.47500
0.07985 0.50000
0.10903 0.52500
0.09875 0.55000
0.11766 0.57500
0.13821 0.60000
0.14889 0.62500
0.13286 0.65000
0.17232 0.67500
0.18629 0.70000
0.20684 0.72500
0.22821 0.75000
0.26273 0.82500
0.26931 0.85000
0.22328 0.87500
0.19081 0.90000
0.12752 0.92500
-0.01056 0.95000
-0.15111 0.97500
-0.65249 0.99000
压力系数 坐标
1.00863 0.06250
1.01726 0.08750
1.00740 0.11250
1.02753 0.13750
1.01356 0.16250
1.00205 0.18750
1.02219 0.21250
1.01973 0.23750
1.01438 0.26250
1.02507 0.28750
1.00822 0.31250
1.02014 0.33750
1.01603 0.36250
1.02589 0.38750
1.02589 0.41250
1.01069 0.43750
1.03082 0.45250
1.02753 0.46750
1.01069 0.48250
1.02301 0.49750
1.01069 0.51250
1.01479 0.52750
0.95685 0.54250
1.02795 0.55750
1.01603 0.57250
1.00986 0.58750
0.97247 0.60250
0.97658 0.61750
0.95767 0.63250
0.94246 0.64750
0.93425 0.66250
0.89479 0.67750
0.87671 0.69250
0.85123 0.70750
0.85616 0.72250
0.85000 0.73750
0.78589 0.74750
0.80438 0.75750
0.77561 0.76750
0.74561 0.77750
0.72424 0.78750
0.68849 0.79750
0.65643 0.80750
0.60588 0.81750
0.52328 0.82750
0.51999 0.83750
0.50602 0.84750
0.46657 0.85750
0.45670 0.86750
0.42670 0.87750
0.42917 0.88750
0.39876 0.89750
0.39383 0.90750
0.34533 0.91750
0.30013 0.92750
0.28451 0.93750
0.27547 0.94750
0.31369 0.95750
0.32150 0.96750
0.26437 0.97750
0.27917 0.98750
0.25698 0.99750
0.25821 1.00750
0.25287 1.01750
0.24711 1.02750
0.23602 1.03750
0.24547 1.04750
0.21752 1.05750
0.23150 1.06750
0.23314 1.07750
0.25533 1.08750
0.23602 1.09750
0.23437 1.10750
0.23232 1.11750
0.25246 1.12750
0.29150 1.13750
0.33383 1.15250
0.35479 1.16750
0.38848 1.18250
0.42259 1.19750
0.48424 1.21250
0.54588 1.22750
0.60424 1.24250
0.65397 1.25750
0.69630 1.27250
0.72794 1.28750
0.78342 1.30250
0.84671 1.31750
0.87219 1.33250
0.88575 1.34750
0.89520 1.36250
0.88493 1.37750
0.94575 1.39250
0.97699 1.40750
0.98685 1.42250
1.00329 1.43750
0.99959 1.46250
1.02260 1.48750
1.02712 1.51250
1.00740 1.53750
0.99959 1.56250
1.00904 1.58750
1.02918 1.61250
0.97781 1.63750
1.01356 1.66250
1.03411 1.68750
1.00288 1.71250
1.01603 1.73750
1.00452 1.76250
1.02260 1.78750
1.02589 1.81250
压力系数 坐标
-0.04919 0.62500
-0.23207 0.93750
-0.22015 1.25000
-0.05823 1.56250
