 
 
 
攻角：17.00
升力系数：1.4100 阻力系数： 0.1786
 
0.0000 
 
 
压力系数 坐标
-3.54308 0.00000
-4.30727 0.00050
-4.45299 0.00125
-4.63636 0.00250
-4.82915 0.00500
-4.77799 0.00750
-4.57292 0.01000
-4.51193 0.01500
-3.97655 0.02500
-3.85130 0.05000
-2.56236 0.10000
-2.30162 0.12500
-2.09410 0.15000
-1.94225 0.17500
-1.65859 0.20000
-1.64181 0.22500
-1.34423 0.27500
-0.98117 0.32500
-0.80271 0.35000
-0.64594 0.37500
-0.58905 0.40000
-0.53092 0.42500
-0.51496 0.45000
-0.51455 0.47500
-0.50677 0.50000
-0.50432 0.52500
-0.51291 0.55000
-0.51210 0.57500
-0.51701 0.60000
-0.53256 0.62500
-0.52847 0.65000
-0.53584 0.67500
-0.53829 0.70000
-0.54075 0.75000
-0.53993 0.80000
-0.53379 0.82500
-0.56408 0.85000
-0.54402 0.87500
-0.54975 0.90000
-0.54730 0.92500
-0.55344 0.95000
-0.53461 0.99000
 
 
压力系数 坐标
-2.84561 0.00000
-1.73922 0.00050
-0.97667 0.00125
-0.43473 0.00250
-0.05080 0.00500
0.34460 0.00750
0.61639 0.01000
0.94671 0.01500
1.01670 0.02500
1.02530 0.05000
0.93238 0.07500
0.71381 0.12500
0.62048 0.15000
0.54026 0.17500
0.47354 0.20000
0.37571 0.22500
0.33642 0.25000
0.25701 0.27500
0.22058 0.30000
0.17965 0.32500
0.06872 0.35000
0.07896 0.37500
0.07978 0.40000
0.06709 0.42500
0.04171 0.45000
0.03680 0.47500
0.05644 0.50000
0.09246 0.52500
0.08632 0.55000
0.11007 0.57500
0.13462 0.60000
0.14568 0.62500
0.13176 0.65000
0.16614 0.67500
0.18456 0.70000
0.22058 0.72500
0.28402 0.75000
0.27829 0.82500
0.28648 0.85000
0.24678 0.87500
0.21608 0.90000
0.16123 0.92500
0.03025 0.95000
-0.09541 0.97500
-0.55262 0.99000
 
 
压力系数 坐标
1.01383 0.06250
1.02243 0.08750
1.01097 0.11250
1.03430 0.13750
1.01793 0.16250
1.00483 0.18750
1.02816 0.21250
1.02448 0.23750
1.01752 0.26250
1.03471 0.28750
1.01465 0.31250
1.01834 0.33750
1.02611 0.36250
1.03225 0.38750
1.03307 0.41250
1.02120 0.43750
1.03021 0.45250
1.02079 0.46750
1.02243 0.48250
1.03430 0.49750
1.02325 0.51250
1.02407 0.52750
0.96963 0.54250
1.03880 0.55750
1.02079 0.57250
1.01834 0.58750
1.00565 0.60250
1.00196 0.61750
0.99951 0.63250
0.98395 0.64750
0.97822 0.66250
0.94998 0.67750
0.96308 0.69250
0.94302 0.70750
0.94261 0.72250
0.91928 0.73750
0.84192 0.74750
0.85297 0.75750
0.80590 0.76750
0.77111 0.77750
0.75719 0.78750
0.71299 0.79750
0.70439 0.80750
0.67779 0.81750
0.61066 0.82750
0.60779 0.83750
0.58733 0.84750
0.54803 0.85750
0.55417 0.86750
0.54312 0.87750
0.54026 0.88750
0.52961 0.89750
0.52675 0.90750
0.53453 0.91750
0.50178 0.92750
0.51038 0.93750
0.50055 0.94750
0.52429 0.95750
0.49032 0.96750
0.44734 0.97750
0.45021 0.98750
0.43793 0.99750
0.45635 1.00750
0.48500 1.01750
0.50301 1.02750
0.53289 1.03750
0.55335 1.04750
0.55213 1.05750
0.54148 1.06750
0.53412 1.07750
0.57628 1.08750
0.57382 1.09750
0.58896 1.10750
0.60779 1.11750
0.64095 1.12750
0.67697 1.13750
0.73714 1.15250
0.77520 1.16750
0.80754 1.18250
0.80549 1.19750
0.81327 1.21250
0.84888 1.22750
0.90004 1.24250
0.90905 1.25750
0.93525 1.27250
0.94548 1.28750
0.99009 1.30250
1.00729 1.31750
1.00319 1.33250
1.01957 1.34750
1.02570 1.36250
1.00360 1.37750
1.02857 1.39250
1.02611 1.40750
1.02202 1.42250
1.02816 1.43750
1.01547 1.46250
1.03389 1.48750
1.03144 1.51250
1.01015 1.53750
1.01015 1.56250
1.00974 1.58750
1.03389 1.61250
0.98314 1.63750
1.02652 1.66250
1.04085 1.68750
1.00810 1.71250
1.02120 1.73750
1.00483 1.76250
1.02079 1.78750
1.02816 1.81250
 
 
压力系数 坐标
-0.02665 0.62500
-0.17727 0.93750
-0.09255 1.25000
-0.01969 1.56250
