 
 
 
攻角：13.00
升力系数：1.3620 阻力系数： 0.0800
 
0.0000 
 
 
压力系数 坐标
-2.28244 0.00000
-3.00246 0.00050
-3.19782 0.00125
-3.43742 0.00250
-3.72903 0.00500
-3.75279 0.00750
-3.69422 0.01000
-3.72125 0.01500
-3.25311 0.02500
-3.00737 0.05000
-2.30251 0.10000
-2.14933 0.12500
-2.02318 0.15000
-1.94454 0.17500
-1.71560 0.20000
-1.77294 0.22500
-1.60419 0.27500
-1.39572 0.32500
-1.29006 0.35000
-1.14630 0.37500
-1.04964 0.40000
-0.87025 0.42500
-0.72485 0.45000
-0.59379 0.47500
-0.49754 0.50000
-0.45003 0.52500
-0.44921 0.55000
-0.44266 0.57500
-0.44717 0.60000
-0.46723 0.62500
-0.46314 0.65000
-0.47625 0.67500
-0.48321 0.70000
-0.49263 0.75000
-0.48853 0.80000
-0.48280 0.82500
-0.50737 0.85000
-0.49427 0.87500
-0.49836 0.90000
-0.49795 0.92500
-0.51065 0.95000
-0.51393 0.99000
 
 
压力系数 坐标
-1.67874 0.00000
-0.78137 0.00050
-0.21003 0.00125
0.18357 0.00250
0.45798 0.00500
0.71682 0.00750
0.86509 0.01000
1.02605 0.01500
1.01008 0.02500
0.95519 0.05000
0.82249 0.07500
0.57716 0.12500
0.48255 0.15000
0.40596 0.17500
0.33838 0.20000
0.24869 0.22500
0.21183 0.25000
0.13852 0.27500
0.11353 0.30000
0.07954 0.32500
-0.02449 0.35000
-0.00565 0.37500
0.00582 0.40000
0.00008 0.42500
-0.01302 0.45000
-0.01180 0.47500
0.01646 0.50000
0.05906 0.52500
0.05742 0.55000
0.08568 0.57500
0.11353 0.60000
0.11845 0.62500
0.10370 0.65000
0.16923 0.67500
0.24787 0.70000
0.27449 0.72500
0.28514 0.75000
0.29006 0.82500
0.29989 0.85000
0.26384 0.87500
0.23763 0.90000
0.18480 0.92500
0.06438 0.95000
-0.06012 0.97500
-0.51761 0.99000
 
 
压力系数 坐标
1.01540 0.06250
1.02359 0.08750
1.01499 0.11250
1.03178 0.13750
1.01786 0.16250
1.00844 0.18750
1.02605 0.21250
1.02564 0.23750
1.02113 0.26250
1.02728 0.28750
1.01622 0.31250
1.02605 0.33750
1.02359 0.36250
1.03711 0.38750
1.03219 0.41250
1.01786 0.43750
1.02605 0.45250
1.02359 0.46750
1.01827 0.48250
1.03137 0.49750
1.01581 0.51250
1.02318 0.52750
0.96707 0.54250
1.03342 0.55750
1.02072 0.57250
1.02892 0.58750
1.02277 0.60250
1.02564 0.61750
1.02810 0.63250
1.01499 0.64750
1.02851 0.66250
1.02482 0.67750
1.03178 0.69250
1.00639 0.70750
1.01171 0.72250
1.00229 0.73750
0.93062 0.74750
0.94413 0.75750
0.93103 0.76750
0.89703 0.77750
0.88598 0.78750
0.85280 0.79750
0.82823 0.80750
0.79915 0.81750
0.73812 0.82750
0.74631 0.83750
0.76147 0.84750
0.73403 0.85750
0.72297 0.86750
0.72010 0.87750
0.71519 0.88750
0.68775 0.89750
0.68693 0.90750
0.68611 0.91750
0.68406 0.92750
0.69921 0.93750
0.71396 0.94750
0.74959 0.95750
0.72133 0.96750
0.71027 0.97750
0.73444 0.98750
0.73116 0.99750
0.76761 1.00750
0.78072 1.01750
0.77335 1.02750
0.76556 1.03750
0.79628 1.04750
0.82413 1.05750
0.86099 1.06750
0.86509 1.07750
0.92243 1.08750
0.91710 1.09750
0.91424 1.10750
0.93226 1.11750
0.96216 1.12750
0.97321 1.13750
1.00229 1.15250
0.99656 1.16750
1.00639 1.18250
0.99984 1.19750
0.99779 1.21250
1.00762 1.22750
1.01663 1.24250
1.01745 1.25750
1.02072 1.27250
0.99943 1.28750
1.00967 1.30250
1.01540 1.31750
1.01417 1.33250
1.01990 1.34750
1.02072 1.36250
0.99738 1.37750
1.01417 1.39250
1.02154 1.40750
1.01909 1.42250
1.02482 1.43750
1.01130 1.46250
1.03096 1.48750
1.02932 1.51250
1.00639 1.53750
1.00598 1.56250
1.01130 1.58750
1.02851 1.61250
0.99042 1.63750
1.01622 1.66250
1.03014 1.68750
1.00270 1.71250
1.01171 1.73750
1.00066 1.76250
1.01622 1.78750
1.02605 1.81250
 
 
压力系数 坐标
-0.00606 0.62500
-0.10886 0.93750
-0.05603 1.25000
-0.00647 1.56250
