 
 
 
攻角：2.00
升力系数：0.8113 阻力系数： 0.0064
 
0.0000 
 
 
压力系数 坐标
0.67675 0.00000
0.36057 0.00050
0.17095 0.00125
-0.04617 0.00250
-0.35507 0.00500
-0.48122 0.00750
-0.67812 0.01000
-0.89484 0.01500
-0.88432 0.02500
-0.96195 0.05000
-1.06505 0.10000
-1.11398 0.12500
-1.15320 0.15000
-1.20576 0.17500
-1.13379 0.20000
-1.26721 0.22500
-1.31007 0.27500
-1.30562 0.32500
-1.29107 0.35000
-1.25670 0.37500
-1.25670 0.40000
-1.19565 0.42500
-1.14430 0.45000
-1.10225 0.47500
-1.06384 0.50000
-1.04080 0.52500
-0.77435 0.55000
-0.71047 0.57500
-0.68217 0.60000
-0.62152 0.62500
-0.58189 0.65000
-0.52367 0.67500
-0.46586 0.70000
-0.36235 0.75000
-0.26410 0.80000
-0.21518 0.82500
-0.19456 0.85000
-0.13027 0.87500
-0.10278 0.90000
-0.05305 0.92500
-0.01181 0.95000
0.10868 0.99000
 
 
压力系数 坐标
0.86839 0.00000
1.00829 0.00050
1.02446 0.00125
0.99575 0.00250
0.95694 0.00500
0.85101 0.00750
0.73254 0.01000
0.55141 0.01500
0.40788 0.02500
0.27283 0.05000
0.11636 0.07500
-0.07892 0.12500
-0.14442 0.15000
-0.18526 0.17500
-0.22367 0.20000
-0.28270 0.22500
-0.29119 0.25000
-0.31787 0.27500
-0.31100 0.30000
-0.31141 0.32500
-0.37893 0.35000
-0.32232 0.37500
-0.27946 0.40000
-0.25278 0.42500
-0.23256 0.45000
-0.21397 0.47500
-0.18566 0.50000
-0.16706 0.52500
-0.04375 0.55000
0.05369 0.57500
0.07755 0.60000
0.12000 0.62500
0.12890 0.65000
0.17944 0.67500
0.23281 0.70000
0.27526 0.72500
0.30963 0.75000
0.36259 0.82500
0.38928 0.85000
0.37634 0.87500
0.37674 0.90000
0.35936 0.92500
0.30720 0.95000
0.28092 0.97500
0.16043 0.99000
 
 
压力系数 坐标
1.00546 0.06250
1.01637 0.08750
1.01476 0.11250
1.02648 0.13750
1.00910 0.16250
0.99899 0.18750
1.02204 0.21250
1.02204 0.23750
1.01112 0.26250
1.01921 0.28750
1.00708 0.31250
1.01799 0.33750
1.01476 0.36250
1.02365 0.38750
1.02972 0.41250
1.01274 0.43750
1.02365 0.45250
1.01759 0.46750
1.01718 0.48250
1.02567 0.49750
1.01193 0.51250
1.01597 0.52750
0.96624 0.54250
1.02770 0.55750
1.02123 0.57250
1.02446 0.58750
1.01799 0.60250
1.02810 0.61750
1.02406 0.63250
1.01354 0.64750
1.02325 0.66250
1.01152 0.67750
1.02446 0.69250
0.99535 0.70750
1.01314 0.72250
1.01314 0.73750
0.95937 0.74750
1.00869 0.75750
1.00910 0.76750
0.99858 0.77750
1.01516 0.78750
1.00546 0.79750
1.02891 0.80750
1.02972 0.81750
0.99858 0.82750
1.00869 0.83750
1.02406 0.84750
1.01233 0.85750
1.01516 0.86750
1.01516 0.87750
1.02244 0.88750
1.01637 0.89750
1.01840 0.90750
1.01274 0.91750
0.95371 0.92750
0.90923 0.93750
0.85990 0.94750
0.86678 0.95750
0.83888 0.96750
0.86354 0.97750
0.92621 0.98750
0.95815 0.99750
1.00344 1.00750
1.01799 1.01750
1.00869 1.02750
1.00061 1.03750
1.01678 1.04750
1.00910 1.05750
1.01112 1.06750
1.01233 1.07750
1.03012 1.08750
1.01233 1.09750
0.99818 1.10750
1.00344 1.11750
1.00627 1.12750
1.00788 1.13750
1.02931 1.15250
1.01031 1.16750
1.01921 1.18250
1.00465 1.19750
1.00384 1.21250
1.01880 1.22750
1.02001 1.24250
1.00991 1.25750
1.02244 1.27250
1.01071 1.28750
1.01840 1.30250
1.01921 1.31750
1.01395 1.33250
1.01921 1.34750
1.01840 1.36250
0.99899 1.37750
1.01112 1.39250
1.01395 1.40750
1.01354 1.42250
1.02082 1.43750
1.00991 1.46250
1.02567 1.48750
1.02850 1.51250
1.01314 1.53750
1.00667 1.56250
1.00950 1.58750
1.00546 1.61250
0.98403 1.63750
1.01557 1.66250
1.03416 1.68750
1.00142 1.71250
1.00505 1.73750
1.00829 1.76250
1.01921 1.78750
1.02487 1.81250
 
 
压力系数 坐标
0.00639 0.62500
-0.01908 0.93750
-0.04213 1.25000
0.01488 1.56250
