攻角：11.00
升力系数：1.3883 阻力系数： 0.0468
0.0000 
压力系数 坐标
-1.82993 0.00000
-2.52296 0.00050
-2.73805 0.00125
-2.99518 0.00250
-3.31558 0.00500
-3.35762 0.00750
-3.35313 0.01000
-3.41394 0.01500
-3.02212 0.02500
-2.79315 0.05000
-2.36337 0.10000
-2.12991 0.12500
-1.99278 0.15000
-1.95849 0.17500
-1.75605 0.20000
-1.84788 0.22500
-1.72830 0.27500
-1.57402 0.32500
-1.49892 0.35000
-1.38015 0.37500
-1.31566 0.40000
-1.17730 0.42500
-1.04588 0.45000
-0.91486 0.47500
-0.76956 0.50000
-0.62467 0.52500
-0.53528 0.55000
-0.46100 0.57500
-0.44019 0.60000
-0.42672 0.62500
-0.41815 0.65000
-0.41815 0.67500
-0.41651 0.70000
-0.42631 0.75000
-0.42060 0.80000
-0.40958 0.82500
-0.43692 0.85000
-0.41447 0.87500
-0.42019 0.90000
-0.41651 0.92500
-0.43243 0.95000
-0.42100 0.99000
压力系数 坐标
-1.26056 0.00000
-0.44957 0.00050
0.05163 0.00125
0.39366 0.00250
0.62344 0.00500
0.82629 0.00750
0.93078 0.01000
1.03281 0.01500
0.99241 0.02500
0.91690 0.05000
0.77283 0.07500
0.51855 0.12500
0.42468 0.15000
0.34917 0.17500
0.28795 0.20000
0.19938 0.22500
0.16591 0.25000
0.09938 0.27500
0.08387 0.30000
0.05122 0.32500
-0.05041 0.35000
-0.02510 0.37500
-0.01041 0.40000
-0.01653 0.42500
-0.01857 0.45000
-0.01204 0.47500
0.01694 0.50000
0.06224 0.52500
0.06061 0.55000
0.08959 0.57500
0.11326 0.60000
0.11530 0.62500
0.13040 0.65000
0.23244 0.67500
0.26223 0.70000
0.28631 0.72500
0.30387 0.75000
0.31937 0.82500
0.33244 0.85000
0.30182 0.87500
0.28060 0.90000
0.23162 0.92500
0.12061 0.95000
0.01041 0.97500
-0.40345 0.99000
压力系数 坐标
1.01363 0.06250
1.02384 0.08750
1.01363 0.11250
1.03077 0.13750
1.02139 0.16250
1.01078 0.18750
1.02792 0.21250
1.02628 0.23750
1.01649 0.26250
1.02669 0.28750
1.01445 0.31250
1.02628 0.33750
1.01853 0.36250
1.03200 0.38750
1.03445 0.41250
1.02180 0.43750
1.02343 0.45250
1.02180 0.46750
1.01690 0.48250
1.03200 0.49750
1.01690 0.51250
1.01649 0.52750
0.97118 0.54250
1.03322 0.55750
1.02220 0.57250
1.02833 0.58750
1.02465 0.60250
1.03241 0.61750
1.02628 0.63250
1.01771 0.64750
1.02873 0.66250
1.01731 0.67750
1.02465 0.69250
0.99322 0.70750
1.01078 0.72250
1.00792 0.73750
0.96425 0.74750
1.00261 0.75750
1.00302 0.76750
0.98996 0.77750
0.98302 0.78750
0.96955 0.79750
0.97363 0.80750
0.95690 0.81750
0.91445 0.82750
0.89853 0.83750
0.89445 0.84750
0.86792 0.85750
0.85445 0.86750
0.84058 0.87750
0.86303 0.88750
0.83690 0.89750
0.83772 0.90750
0.84752 0.91750
0.82915 0.92750
0.84384 0.93750
0.86874 0.94750
0.92221 0.95750
0.89445 0.96750
0.88017 0.97750
0.86588 0.98750
0.83446 0.99750
0.83201 1.00750
0.84384 1.01750
0.84915 1.02750
0.86221 1.03750
0.89690 1.04750
0.88874 1.05750
0.89935 1.06750
0.90343 1.07750
0.94261 1.08750
0.93241 1.09750
0.91976 1.10750
0.91853 1.11750
0.92792 1.12750
0.93976 1.13750
0.96833 1.15250
0.96057 1.16750
0.97200 1.18250
0.97118 1.19750
0.98710 1.21250
1.00547 1.22750
1.01853 1.24250
1.02424 1.25750
1.02424 1.27250
1.00955 1.28750
1.02220 1.30250
1.01975 1.31750
1.01853 1.33250
1.02547 1.34750
1.02139 1.36250
1.00955 1.37750
1.02302 1.39250
1.03200 1.40750
1.02016 1.42250
1.01975 1.43750
1.01486 1.46250
1.03118 1.48750
1.03363 1.51250
1.00588 1.53750
1.00710 1.56250
1.00792 1.58750
1.03077 1.61250
0.98057 1.63750
1.01445 1.66250
1.03567 1.68750
1.00220 1.71250
1.02057 1.73750
0.99894 1.76250
1.01649 1.78750
1.03037 1.81250
压力系数 坐标
0.00714 0.62500
-0.08714 0.93750
-0.06796 1.25000
0.00673 1.56250
